id,source,source_listing_id,url,seller_type,posted_at,updated_at,title,year,make,model,trim,price_usd,mileage,vin,used_new,condition_raw,transmission,fuel,drive,body_type,paint_color,cylinders,title_status,size,location,latitude,longitude,image_urls,seller_phone_numbers,description,extracted_at,parsed_at
craigslist-7917032650,craigslist,7917032650,https://modesto.craigslist.org/cto/d/modesto-2014-infiniti-q50-hybrid/7917032650.html,owner,2026-02-23T08:33,,2014 Infiniti Q50 Hybrid,2014,Infiniti,Q50,Hybrid,12300,78701,,used,excellent,automatic,gas,rwd,sedan,brown,6 cylinders,salvage,,,,,[],[],"posted: 2026-02-23T08:33:58-0800 posted: 2026-02-23T08:33:58-0800 # 2014 Infiniti Q50 Hybrid - $12,300 2014 infiniti q50 condition: excellent cylinders: 6 cylinders drive: rwd fuel: gas odometer: 78,701 paint color: brown title status: salvage transmission: automatic type: sedan 2014 INFINITI Q50 Hybrid – 78k miles – $12,300 OBO 📍 Located in Rancho Cordova Beautiful Brown exterior with a super clean Tan leather interior. This Q50 hybrid runs strong, drives perfectly, and is loaded with premium f",2026-02-27T21:48:24.301211+00:00,2026-02-27T21:48:24.468464+00:00
craigslist-7917772960,craigslist,7917772960,https://sacramento.craigslist.org/ctd/d/rancho-cordova-2023-infiniti-q50-luxe/7917772960.html,dealer,2026-02-26T11:52,,2023 Infiniti Q50 Luxe 4dr Sedan,2023,Infiniti,Q50,,22985,29760,JN1EV7BP7PM511284,used,used,,gas,fwd,sedan,black,6 cylinders,clean,,,38.591826,-121.264745,[],"[""(916) 999-7777"", ""916 586 6111"", ""916-999-7777""]","posted: 2026-02-26T11:52:35-0800 posted: 2026-02-26T11:52:35-0800 # 2023 Infiniti Q50 Luxe 4dr Sedan - $22,985 2023 INFINITI Q50 VIN: JN1EV7BP7PM511284 drive: fwd fuel: gas odometer: 29,760 paint color: black title status: clean transmission: automatic type: sedan https://www.google.com/maps/search/38.591826,-121.264745 2023 Infiniti Q50 Luxe 4dr Sedan Offered by: Sacramento Luxury Motors — (916) 999-7777 — $22,985 WWW.SACRAMENTOLUXURYMOTORS.COM Text JASMIN @ 916 586 6111 3071 SUNRISE BLVD RANCH",2026-02-27T21:48:24.301276+00:00,2026-02-27T21:48:24.471362+00:00
craigslist-7917140054,craigslist,7917140054,https://sacramento.craigslist.org/ctd/d/sacramento-2014-infiniti-q50-premium/7917140054.html,dealer,2026-02-23T14:43,,2014 INFINITI Q50 Premium,2014,Infiniti,Q50,Premium,10995,136781,JN1BV7AP3EM692501,,,automatic,gas,rwd,sedan,white,6 cylinders,clean,,,38.624885,-121.401884,[],"[""(916) 550-0084""]","posted: 2026-02-23T14:43:19-0800 posted: 2026-02-23T14:43:19-0800 # 2014 INFINITI Q50 Premium - $10,995 2014 INFINITI Q50 Premium VIN: JN1BV7AP3EM692501 cylinders: 6 cylinders drive: rwd fuel: gas odometer: 136,781 paint color: white title status: clean transmission: automatic type: sedan https://www.google.com/maps/search/38.624885,-121.401884 2014 INFINITI Q50 Premium Sedan Exterior Color: Moonlight White Interior Color: Graphite VIN: JN1BV7AP3EM692501 Stock Number: 103027 Mileage: 136,781 MPG",2026-02-27T21:48:24.301533+00:00,2026-02-27T21:48:24.471609+00:00
craigslist-7917872875,craigslist,7917872875,https://sacramento.craigslist.org/ctd/d/sacramento-2015-infiniti-q50-premium/7917872875.html,dealer,2026-02-26T21:53,,2015 Infiniti Q50 Premium Sedan *SUN ROOF*LOW MILES*NAVI*RR CAM*CALL**,2015,Infiniti,Q50,Premium,15495,77628,JN1BV7AP1FM350949,,,automatic,gas,fwd,sedan,gray,6 cylinders,clean,,,38.5564,-121.37661,[],"[""(916) 664-3921""]","posted: 2026-02-26T21:53:41-0800 posted: 2026-02-26T21:53:41-0800 # 2015 Infiniti Q50 Premium Sedan *SUN ROOF*LOW MILES*NAVI*RR CAM*CALL** - $15,495 2015 Infiniti Q50 VIN: JN1BV7AP1FM350949 drive: fwd fuel: gas odometer: 77,628 paint color: grey title status: clean transmission: automatic type: sedan more ads by this seller https://www.google.com/maps/search/38.556400,-121.376610 2015 Infiniti Q50 Premium 4dr Sedan Offering top-shelf amenities and performance to match, our 2015 INFINITI Q50 Prem",2026-02-27T21:48:24.301575+00:00,2026-02-27T21:48:24.472151+00:00
craigslist-7913799332,craigslist,7913799332,https://sacramento.craigslist.org/cto/d/sacramento-2016-infiniti-q50-awd/7913799332.html,owner,2026-02-07T21:11,,2016 Infiniti Q50 AWD,2016,Infiniti,Q50,,8000,99631,,,,automatic,gas,awd,,,,salvage,,,,,[],[],"posted: 2026-02-07T21:11:39-0800 posted: 2026-02-07T21:11:39-0800 # 2016 Infiniti Q50 AWD - $8,000 2016 infiniti q50 fuel: gas odometer: 99,631 title status: salvage transmission: automatic 2016 Infiniti Q50 AWD 99,361 miles SALVAGE TITLE ( PINK SLIP IN HAND ) Daily Runner Drives good , haven’t had any issues Smogged Already 2/4/26 Has dent on driver side quarter panel . Not too bad Couple minor scuffs but nothing too crazy. 8k OBO Posted 2026-02-07 21:11 post id: 7913799332 posted: 2026-02-07 2",2026-02-27T21:48:24.301618+00:00,2026-02-27T21:48:24.472297+00:00
craigslist-7916668699,craigslist,7916668699,https://sfbay.craigslist.org/eby/ctd/d/santa-clara-2021-infiniti-q50-luxe-4dr/7916668699.html,dealer,2026-02-21T10:24,,2021 Infiniti Q50 Luxe 4dr Sedan - We Finance !!!,2021,Infiniti,Q50,,25999,57000,JN1EV7BPXMM707473,used,used,,gas,fwd,sedan,white,6 cylinders,clean,,,37.351871,-121.98835,[],"[""(408) 547-4441""]","posted: 2026-02-21T10:24:43-0800 posted: 2026-02-21T10:24:43-0800 # 2021 Infiniti Q50 Luxe 4dr Sedan - We Finance !!! - $25,999 2021 INFINITI Q50 VIN: JN1EV7BPXMM707473 drive: fwd fuel: gas odometer: 57,000 paint color: white title status: clean transmission: automatic type: sedan https://www.google.com/maps/search/37.351871,-121.988350 2021 Infiniti Q50 Luxe 4dr Sedan Offered by: EURO AUTO SALE — (408) 547-4441 — $25,999 💬 24/7 messaging! Chat now on Text2Buy.com EURO AUTO SALE Year: 2021 Make:",2026-02-27T21:48:24.301638+00:00,2026-02-27T21:48:24.474538+00:00
craigslist-7917104100,craigslist,7917104100,https://sfbay.craigslist.org/eby/cto/d/oakland-2017-infiniti-q50-20t-mechanic/7917104100.html,owner,2026-02-23T12:23,,2017 Infiniti Q50 2.0t,2017,Infiniti,Q50,,6500,93000,,used,good,automatic,gas,rwd,sedan,gray,4 cylinders,clean,,,,,[],[],"posted: 2026-02-23T12:23:19-0800 posted: 2026-02-23T12:23:19-0800 # 2017 Infiniti Q50 2.0t (Mechanic Special) - $6,500 2017 infiniti q50 condition: good cylinders: 4 cylinders drive: rwd fuel: gas odometer: 93,000 paint color: grey title status: clean transmission: automatic type: sedan 2017 Infiniti Q59 2.0t CLEAN TITLE Mechanic special Has New turbo Had New water pump Still runs a drives fine does not shake or stutter normal power delivery I’m done dealing with this car Started as just a cylin",2026-02-27T21:48:24.301837+00:00,2026-02-27T21:48:24.474720+00:00
craigslist-7917294419,craigslist,7917294419,https://sfbay.craigslist.org/sfc/ctd/d/rancho-cordova-2019-infiniti-q50-30t/7917294419.html,dealer,2026-02-24T10:19,,2019 Infiniti Q50 3.0T Luxe 4dr Sedan,2019,Infiniti,Q50,,18985,81752,JN1EV7AP9KM513774,used,used,,gas,fwd,sedan,,6 cylinders,clean,,,38.591826,-121.264745,[],"[""(916) 999-7777"", ""916 586 6111"", ""916-999-7777""]","posted: 2026-02-24T10:19:38-0800 posted: 2026-02-24T10:19:38-0800 # 2019 Infiniti Q50 3.0T Luxe 4dr Sedan - $18,985 2019 INFINITI Q50 VIN: JN1EV7AP9KM513774 drive: fwd fuel: gas odometer: 81,752 title status: clean transmission: automatic type: sedan https://www.google.com/maps/search/38.591826,-121.264745 2019 Infiniti Q50 3.0T Luxe 4dr Sedan Offered by: Sacramento Luxury Motors — (916) 999-7777 — $18,985 WWW.SACRAMENTOLUXURYMOTORS.COM Text JASMIN @ 916 586 6111 3071 SUNRISE BLVD RANCHO CORDOVA",2026-02-27T21:48:24.301859+00:00,2026-02-27T21:48:24.477210+00:00
craigslist-7917031948,craigslist,7917031948,https://sfbay.craigslist.org/sfc/cto/d/san-francisco-2014-infiniti-q50-hybrid/7917031948.html,owner,2026-02-23T08:31,,2014 Infiniti Q50 Hybrid,2014,Infiniti,Q50,Hybrid,12200,78701,,used,excellent,automatic,gas,rwd,sedan,brown,6 cylinders,salvage,,,,,[],[],"posted: 2026-02-23T08:31:42-0800 posted: 2026-02-23T08:31:42-0800 # 2014 Infiniti Q50 Hybrid - $12,200 2014 infiniti q50 condition: excellent cylinders: 6 cylinders drive: rwd fuel: gas odometer: 78,701 paint color: brown title status: salvage transmission: automatic type: sedan 2014 INFINITI Q50 Hybrid – 78k miles – $12,200 OBO 📍 Located in Rancho Cordova Beautiful Brown exterior with a super clean Tan leather interior. This Q50 hybrid runs strong, drives perfectly, and is loaded with premium f",2026-02-27T21:48:24.302064+00:00,2026-02-27T21:48:24.477465+00:00
craigslist-7917951460,craigslist,7917951460,https://stockton.craigslist.org/ctd/d/rancho-cordova-2019-infiniti-q50-30t/7917951460.html,dealer,2026-02-27T09:09,,2019 Infiniti Q50 3.0T Luxe 4dr Sedan,2019,Infiniti,Q50,,17440,81752,JN1EV7AP9KM513774,used,used,,gas,fwd,sedan,,6 cylinders,clean,,,38.591826,-121.264745,[],"[""(916) 999-7777"", ""916 586 6111"", ""916-999-7777""]","posted: 2026-02-27T09:09:33-0800 posted: 2026-02-27T09:09:33-0800 # 2019 Infiniti Q50 3.0T Luxe 4dr Sedan - $17,440 2019 INFINITI Q50 VIN: JN1EV7AP9KM513774 drive: fwd fuel: gas odometer: 81,752 title status: clean transmission: automatic type: sedan https://www.google.com/maps/search/38.591826,-121.264745 2019 Infiniti Q50 3.0T Luxe 4dr Sedan Offered by: Sacramento Luxury Motors — (916) 999-7777 — $17,440 WWW.SACRAMENTOLUXURYMOTORS.COM Text JASMIN @ 916 586 6111 3071 SUNRISE BLVD RANCHO CORDOVA",2026-02-27T21:48:24.302092+00:00,2026-02-27T21:48:24.479966+00:00
